Source;Target;Type
1;1;Directed
1;2;Directed
1;3;Directed
1;5;Directed
1;16;Directed
1;8;Directed
1;11;Directed
1;9;Directed
1;10;Directed
1;4;Directed
1;12;Directed
1;13;Directed
1;18;Directed
1;14;Directed
1;15;Directed
1;7;Directed
1;17;Directed
1;6;Directed
99;99;Directed
99;85;Directed
99;86;Directed
72;63;Directed
72;45;Directed
72;52;Directed
72;47;Directed
72;53;Directed
72;68;Directed
72;67;Directed
72;55;Directed
72;56;Directed
72;71;Directed
72;54;Directed
72;69;Directed
103;103;Directed
106;74;Directed
106;75;Directed
106;76;Directed
106;77;Directed
106;78;Directed
106;79;Directed
106;80;Directed
106;81;Directed
106;82;Directed
106;83;Directed
106;84;Directed
106;87;Directed
106;88;Directed
106;90;Directed
106;92;Directed
106;93;Directed
106;94;Directed
106;95;Directed
106;96;Directed
106;97;Directed
106;98;Directed
106;99;Directed
106;101;Directed
106;103;Directed
106;104;Directed
106;105;Directed
106;106;Directed
106;107;Directed
106;108;Directed
106;109;Directed
106;110;Directed
106;111;Directed
39;20;Directed
39;21;Directed
39;22;Directed
39;23;Directed
39;24;Directed
39;25;Directed
39;26;Directed
39;27;Directed
39;28;Directed
39;29;Directed
39;30;Directed
39;31;Directed
39;32;Directed
39;33;Directed
39;34;Directed
39;35;Directed
39;36;Directed
39;37;Directed
39;38;Directed
39;39;Directed
39;40;Directed
39;41;Directed
39;42;Directed
39;43;Directed
39;44;Directed
104;73;Directed
104;102;Directed
104;89;Directed
104;104;Directed
104;100;Directed
104;91;Directed
50;64;Directed
50;46;Directed
50;65;Directed
50;59;Directed
50;51;Directed
50;66;Directed
50;48;Directed
50;49;Directed
50;57;Directed
50;70;Directed
50;60;Directed
50;62;Directed
50;72;Directed
50;61;Directed
50;58;Directed
